Title;Issn;SJR;QUARTIL;H index
Neurodegenerative Disease Management;17582024, 17582032;0.618;Q2;32
Plant Breeding Reviews;07302207;0.618;Q1;20
Results in Mathematics;14226383;0.618;Q2;42
Victims and Offenders;15564886, 15564991;0.618;Q1;38
Annals of Microbiology;18692044, 15904261;0.617;Q2;66
Clinical Nursing Research;10547738, 15523799;0.617;Q2;50
Frontiers in Energy;20951698, 20951701;0.617;Q2;40
Heliyon;24058440;0.617;Q1;88
International Journal of Genomics;2314436X, 23144378;0.617;Q2;37
Journal of Geometry and Physics;03930440;0.617;Q2;61
Journal of Nursing Administration;00020443, 15390721;0.617;Q2;90
Multidisciplinary Respiratory Medicine;1828695X, 20496958;0.617;Q2;42
Operative Dentistry;03617734, 15592863;0.617;Q1;93
Orthopaedic surgery;17577853, 17577861;0.617;Q2;40
Research in Veterinary Science;15322661, 00345288;0.617;Q1;87
Teaching Sociology;0092055X, 1939862X;0.617;Q1;44
Annals of Vascular Surgery;16155947, 08905096;0.616;Q2;84
Behavioral Sciences;2076328X;0.616;Q2;46
Career Development Quarterly;21610045, 08894019;0.616;Q2;61
Computational Toxicology;24681113;0.616;Q2;24
Computers;2073431X;0.616;Q2;39
General and Comparative Endocrinology;10956840, 00166480;0.616;Q1;133
HIV Research and Clinical Practice;25787470, 25787489;0.616;Q2;54
International Journal of Periodontics and Restorative Dentistry;19453388, 01987569;0.616;Q2;96
Journal of African Economies;09638024, 14643723;0.616;Q2;59
Journal of Crime and Justice;21589119, 0735648X;0.616;Q1;36
Journal of Environmental Economics and Policy;21606544, 21606552;0.616;Q2;23
Journal of Plankton Research;14643774, 01427873;0.616;Q2;106
New Review of Academic Librarianship;13614533, 17407834;0.616;Q1;25
Talanta Open;26668319;0.616;Q2;15
Anatomical Record;19328486, 19328494;0.615;Q2;99
Annals of Otology, Rhinology and Laryngology;00034894, 1943572X;0.615;Q2;103
International Journal of Educational Management;0951354X;0.615;Q2;65
International Migration;14682435, 00207985;0.615;Q1;78
Journal of Deaf Studies and Deaf Education;14657325, 10814159;0.615;Q2;72
Journal of Electronic Packaging, Transactions of the ASME;15289044, 10437398;0.615;Q2;60
Journal of Hyperbolic Differential Equations;17936993, 02198916;0.615;Q2;30
Journal of Nonlinear and Variational Analysis;25606778, 25606921;0.615;Q2;17
Journal of Psychosocial Oncology;07347332, 15407586;0.615;Q2;52
Journal of School Nursing;10598405, 15468364;0.615;Q2;45
Mechanics of Advanced Materials and Structures;15210596, 15376494;0.615;Q2;65
Periodica Mathematica Hungarica;00315303;0.615;Q2;26
SAGE Open Medicine;20503121;0.615;Q2;37
Traffic Injury Prevention;15389588, 1538957X;0.615;Q1;65
Wood Science and Technology;00437719, 14325225;0.615;Q1;89
BioControl;13866141, 15738248;0.614;Q1;82
Bioorganic and Medicinal Chemistry;14643391, 09680896;0.614;Q2;187
European Journal of Tourism Research;13140817, 19947658;0.614;Q2;27
International Journal of Modern Physics D;02182718, 17936594;0.614;Q2;93
International Journal of Public Administration;15324265, 01900692;0.614;Q2;58
Journal of Inorganic Biochemistry;01620134, 18733344;0.614;Q2;146
Journal of Latinos and Education;1532771X, 15348431;0.614;Q1;25
Prion;19336896, 1933690X;0.614;Q2;50
Prosthesis;26731592;0.614;Q2;15
Systems Research and Behavioral Science;10991743, 10927026;0.614;Q1;57
Topics in antiviral medicine;21615861, 21615853;0.614;Q2;46
ACM Transactions on Autonomous and Adaptive Systems;15564665, 15564703;0.613;Q2;46
Experimental Brain Research;14321106, 00144819;0.613;Q3;188
Geosciences (Switzerland);20763263;0.613;Q2;50
Global Media and Communication;17427665, 17427673;0.613;Q1;29
International Journal of Language and Communication Disorders;13682822, 14606984;0.613;Q1;86
International Journal of Mechanical System Dynamics;27671402, 27671399;0.613;Q2;7
Journal of Child and Adolescent Psychiatric Nursing;10736077, 17446171;0.613;Q1;43
Journal of Child Health Care;17412889, 13674935;0.613;Q1;48
Journal of Clinical Sport Psychology;19329261, 1932927X;0.613;Q2;39
Journal of Gender Studies;14653869, 09589236;0.613;Q1;49
Journal of Global Responsibility;20412568, 20412576;0.613;Q2;27
Journal of Inorganic and Organometallic Polymers and Materials;15741443, 15741451;0.613;Q2;62
Journal of Research in Childhood Education;02568543;0.613;Q2;38
Microbiology and Immunology;03855600, 13480421;0.613;Q3;82
Nutrition Bulletin;14673010, 14719827;0.613;Q2;52
Review of Political Economy;14653982, 09538259;0.613;Q1;36
Reviews in Inorganic Chemistry;01934929, 21910227;0.613;Q2;29
Topics in Catalysis;15729028, 10225528;0.613;Q2;122
Workplace Health and Safety;21650969, 21650799;0.613;Q2;50
Annals of Regional Science;05701864, 14320592;0.612;Q1;77
Arthroscopy Techniques;22126287;0.612;Q2;44
Biomaterials and Biosystems;26665344;0.612;Q2;8
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry;03645916;0.612;Q2;73
Clinical Medicine Insights: Oncology;11795549;0.612;Q3;33
Croatian Journal of Forest Engineering;18455719;0.612;Q1;34
European Journal of Histochemistry;1121760X, 20388306;0.612;Q2;49
Evolutionary Biology;19342845, 00713260;0.612;Q2;50
Future Microbiology;17460921, 17460913;0.612;Q2;102
Indian Journal of Psychiatry;00195545, 19983794;0.612;Q3;53
Interest Groups and Advocacy;20477414, 20477422;0.612;Q1;19
International Interactions;03050629, 15477444;0.612;Q1;53
International Journal of Food Science;23567015, 23145765;0.612;Q2;38
International Journal of Occupational and Environmental Medicine;20086520, 20086814;0.612;Q2;32
International Journal of Offender Therapy and Comparative Criminology;0306624X, 15526933;0.612;Q1;73
Islets;19382022, 19382014;0.612;Q3;43
Japanese Journal of Clinical Oncology;03682811, 14653621;0.612;Q2;95
Journal of Genetic Psychology;19400896, 00221325;0.612;Q2;60
Journal of the Physical Society of Japan;13474073, 00319015;0.612;Q2;143
Palliative and Supportive Care;14789523, 14789515;0.612;Q2;60
Plant Ecology and Diversity;17550874, 17551668;0.612;Q2;44
Restorative Neurology and Neuroscience;18783627, 09226028;0.612;Q3;85
Tellus, Series B: Chemical and Physical Meteorology;02806509;0.612;Q3;112
Transactions of the Royal Society of Tropical Medicine and Hygiene;18783503, 00359203;0.612;Q2;117
Agronomy Journal;00021962, 14350645;0.611;Q1;152
Biological Bulletin;19398697, 00063185;0.611;Q1;83
Cardiology Journal;18975593;0.611;Q2;44
ECNU Review of Education;20965311, 26321742;0.611;Q2;17
Environmental Humanities;22011919;0.611;Q1;16
Frontiers in Conservation Science;2673611X;0.611;Q2;11
Innovation and Management Review;25158961;0.611;Q2;15
International Journal of Immunopathology and Pharmacology;03946320;0.611;Q2;65
Journal of Advanced Concrete Technology;13468014, 13473913;0.611;Q2;62
Journal of Family Nursing;10748407, 1552549X;0.611;Q1;52
Journal of Hydro-Environment Research;15706443;0.611;Q2;49
Journal of Obstetrics and Gynaecology Canada;17012163;0.611;Q2;81
Monthly Review;00270520;0.611;Q1;41
Open Quaternary;2055298X;0.611;Q1;13
Planetary and Space Science;00320633;0.611;Q2;104
Results in Materials;2590048X;0.611;Q2;23
Universal Access in the Information Society;16155289, 16155297;0.611;Q2;52
American Journal of Men's Health;15579891, 15579883;0.61;Q2;51
Annalen der Physik;00033804, 15213889;0.61;Q2;73
Biotechnology and Applied Biochemistry;14708744, 08854513;0.61;Q2;81
Bulletin of Mathematical Biology;00928240, 15229602;0.61;Q1;97
Clinical and Experimental Pharmacology and Physiology;14401681, 03051870;0.61;Q2;115
Communication Education;03634523, 14795795;0.61;Q1;73
Cost Effectiveness and Resource Allocation;14787547;0.61;Q2;44
Environment and Society: Advances in Research;21506779, 21506787;0.61;Q1;20
Evolutionary Ecology;02697653, 15738477;0.61;Q2;94
Italian Journal of Animal Science;15944077;0.61;Q1;53
Journal of Cardiovascular Pharmacology;15334023, 01602446;0.61;Q2;109
Journal of Consciousness Studies;20512201, 13558250;0.61;Q1;74
Journal of Tropical Pediatrics;14653664, 01426338;0.61;Q2;59
Phytopathologia Mediterranea;00319465, 15932095;0.61;Q1;57
Plant Phenome Journal;25782703;0.61;Q1;14
Proceedings of the Edinburgh Mathematical Society;14643839, 00130915;0.61;Q2;36
Results in Control and Optimization;26667207;0.61;Q2;12
Weed Science;00431745, 15502759;0.61;Q1;106
Alzheimer Disease and Associated Disorders;08930341, 15464156;0.609;Q2;109
Annals of Human Genetics;00034800, 14691809;0.609;Q3;79
Blood Research;2287979X, 22880011;0.609;Q2;33
BMC Urology;14712490;0.609;Q2;53
Gerodontology;07340664, 17412358;0.609;Q2;66
IEEE Journal of Radio Frequency Identification;24697281;0.609;Q2;22
IZA Journal of Development and Migration;25201786;0.609;Q1;26
Journal of Asthma;15324303, 02770903;0.609;Q2;79
Journal of Clinical Neuroscience;09675868, 15322653;0.609;Q2;98
Journal of Computer-Aided Molecular Design;15734951, 0920654X;0.609;Q2;119
Journal of Food and Drug Analysis;10219498, 22246614;0.609;Q2;79
Journal of Vector Ecology;10811710, 19487134;0.609;Q2;58
Nanoscience and Technology;25724258, 25724266;0.609;Q2;16
Palaeontologia Electronica;10948074, 19353952;0.609;Q2;47
Pediatric Quality and Safety;24720054;0.609;Q2;13
Reproductive Biomedicine and Society Online;24056618;0.609;Q1;22
Research in Psychotherapy: Psychopathology, Process and Outcome;22398031;0.609;Q2;19
Review of European, Comparative and International Environmental Law;20500386, 20500394;0.609;Q1;28
Technology in Cancer Research and Treatment;15330338, 15330346;0.609;Q2;72
Vienna Yearbook of Population Research;17285305, 17284414;0.609;Q1;29
Applied Animal Behaviour Science;01681591;0.608;Q1;132
Cereal Chemistry;19433638, 00090352;0.608;Q2;117
Clinical Neurology and Neurosurgery;18726968, 03038467;0.608;Q2;86
Current Cardiology Reviews;1573403X, 18756557;0.608;Q2;58
Freshwater Science;21619549, 21619565;0.608;Q2;126
Futures and Foresight Science;25735152;0.608;Q2;13
International Journal of the Sociology of Language;16133668, 01652516;0.608;Q1;47
Journal of Business Economics;00442372;0.608;Q2;33
Journal of Human Resources in Hospitality and Tourism;15332845, 15332853;0.608;Q2;38
Journal of Marketing for Higher Education;15407144, 08841241;0.608;Q2;44
Journal of Thermal Spray Technology;15441016, 10599630;0.608;Q2;100
Journal of Tissue Viability;0965206X, 18764746;0.608;Q2;41
Managing Sport and Leisure;23750480, 23750472;0.608;Q2;43
Metaphor and Symbol;15327868, 10926488;0.608;Q1;33
Nationalities Papers;14653923, 00905992;0.608;Q1;35
Physiotherapy Research International;14712865, 13582267;0.608;Q2;58
Primary Health Care Research and Development;14634236, 14771128;0.608;Q2;35
RIED-Revista Iberoamericana de Educacion a Distancia;13903306, 11382783;0.608;Q2;19
Skin Appendage Disorders;22969160, 22969195;0.608;Q2;25
Water Resources and Economics;22124284;0.608;Q2;28
Yeast;10970061, 0749503X;0.608;Q2;111
Accounting and Business Research;21594260, 00014788;0.607;Q2;69
Agriculture (Switzerland);20770472;0.607;Q1;66
Applied Spectroscopy;00037028, 19433530;0.607;Q2;122
Archaeological Dialogues;13802038, 14782294;0.607;Q1;37
Cancer Biotherapy and Radiopharmaceuticals;10849785, 15578852;0.607;Q2;68
Communication Reports;08934215;0.607;Q1;29
Computational Methods in Applied Mathematics;16094840, 16099389;0.607;Q2;33
Ecological Complexity;1476945X;0.607;Q2;66
Entrepreneurship Research Journal;21575665, 21946175;0.607;Q2;26
Information Retrieval;13864564, 15737659;0.607;Q1;65
Joint Diseases and Related Surgery;26874792;0.607;Q2;22
Journal of Interventional Cardiology;08964327, 15408183;0.607;Q2;55
Journal of Ultrasound in Medicine;02784297, 15509613;0.607;Q2;105
Mathematical Methods in the Applied Sciences;10991476, 01704214;0.607;Q2;82
Meat and Muscle Biology;2575985X;0.607;Q1;14
Monographs in Oral Science;00770892;0.607;Q2;52
Neuroimage: Reports;26669560;0.607;Q3;8
Organic and Biomolecular Chemistry;14770520, 14770539;0.607;Q2;184
Scientific Culture;24080071, 24079529;0.607;Q1;10
Acta Otorhinolaryngologica Italica;0392100X, 1827675X;0.606;Q2;55
Ecology of Freshwater Fish;16000633, 09066691;0.606;Q2;63
Granular Matter;14347636, 14345021;0.606;Q2;80
Healthcare (Switzerland);22279032;0.606;Q2;57
Hellenic Journal of Cardiology;22415955, 11099666;0.606;Q2;36
Hesperia;0018098X, 15535622;0.606;Q1;32
International Journal for Parasitology: Parasites and Wildlife;22132244;0.606;Q1;41
Journal of African Earth Sciences;1464343X, 18791956;0.606;Q2;95
Journal of Educational and Psychological Consultation;10474412, 1532768X;0.606;Q2;39
Journal of Statistics and Data Science Education;26939169;0.606;Q2;37
Lecture Notes in Computer Science;03029743, 16113349;0.606;Q2;470
Library Management;01435124;0.606;Q1;40
Molecular Genetics and Genomics;16174615, 16174623;0.606;Q2;134
New Microbes and New Infections;20522975;0.606;Q2;44
Acta Histochemica et Cytochemica;13475800, 00445991;0.605;Q2;31
Advanced Robotics;01691864, 15685535;0.605;Q2;76
Annals of Pediatric Endocrinology and Metabolism;22871012, 22871292;0.605;Q2;19
Asian Pacific Journal of Allergy and Immunology;22288694, 0125877X;0.605;Q2;41
Climate Change Research;16731719;0.605;Q2;13
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics;1744117X, 18780407;0.605;Q1;49
Dental Clinics of North America;00118532, 15580512;0.605;Q2;83
Environmental and Ecological Statistics;13528505, 15733009;0.605;Q2;53
Greenhouse Gases: Science and Technology;21523878;0.605;Q2;44
Harvard Journal of Law and Public Policy;01934872;0.605;Q1;30
Journal of Applied Phycology;15735176, 09218971;0.605;Q2;137
Journal of Iron and Steel Research International;22103988, 1006706X;0.605;Q1;52
Optimization and Engineering;13894420;0.605;Q2;48
Psychiatry (New York);00332747, 1943281X;0.605;Q2;69
Tuberculosis;1873281X, 14729792;0.605;Q2;99
Urban Water Journal;17449006, 1573062X;0.605;Q2;57
Veterinary Anaesthesia and Analgesia;14672995, 14672987;0.605;Q1;65
Waste and Biomass Valorization;1877265X, 18772641;0.605;Q2;68
Acta Palaeontologica Polonica;17322421, 05677920;0.604;Q2;62
Aging Medicine;24750360;0.604;Q3;16
Cancer Investigation;07357907, 15324192;0.604;Q2;93
Computers and Concrete;1598818X, 15988198;0.604;Q1;44
Culture, Medicine and Psychiatry;1573076X, 0165005X;0.604;Q1;62
EcoHealth;16129202;0.604;Q2;72
Econometrics;22251146;0.604;Q2;23
European Journal of Applied Linguistics;21929521, 2192953X;0.604;Q1;15
Information Systems and e-Business Management;16179846;0.604;Q2;47
International Journal of Endocrinology;16878337, 16878345;0.604;Q3;79
Journal of Child and Adolescent Psychopharmacology;10445463, 15578992;0.604;Q2;92
Journal of Physical Chemistry A;15205215, 10895639;0.604;Q2;257
Lethaia;00241164, 15023931;0.604;Q2;65
Mediterranean Journal of Mathematics;16605454, 16605446;0.604;Q2;39
Proceedings of the American Mathematical Society, Series B;23301511;0.604;Q2;7
AEM Education and Training;24725390;0.603;Q1;23
Asian Journal of Mycology;26511339;0.603;Q1;11
Bulletin of the Council for Research in Music Education;21627223, 00109894;0.603;Q1;22
Clinical Radiology;1365229X, 00099260;0.603;Q2;105
European Journal of Psychiatry;02136163, 23404469;0.603;Q3;29
Journal of Continuing Education in the Health Professions;08941912, 1554558X;0.603;Q2;64
Journal of Engineering Design;14661837, 09544828;0.603;Q2;63
Journal of Immigrant and Refugee Studies;15562956, 15562948;0.603;Q2;36
Journal of Systems and Information Technology;17588847, 13287265;0.603;Q2;35
Minerva Endocrinology;27246116, 27246507;0.603;Q2;40
Palliative Care and Social Practice;26323524;0.603;Q1;14
Ship Technology Research;09377255;0.603;Q2;23
Tissue Engineering - Part C: Methods;19373392, 19373384;0.603;Q2;88
TripleC;1726670X;0.603;Q1;32
Advances in Meteorology;16879317, 16879309;0.602;Q2;49
Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology;22146873;0.602;Q2;17
Biosafety and Health;25900536;0.602;Q2;20
British Dental Journal;00070610, 14765373;0.602;Q2;95
Computer Aided Geometric Design;01678396;0.602;Q2;77
CytoJournal;09745963, 17426413;0.602;Q2;32
Frontiers in Medical Technology;26733129;0.602;Q1;15
Indian Journal of Labour Economics;00195308;0.602;Q2;21
Journal of College Student Retention: Research, Theory and Practice;15414167, 15210251;0.602;Q2;40
Journal of Long-Term Care;25169122;0.602;Q1;9
Journal of Natural Fibers;1544046X, 15440478;0.602;Q2;56
Journal of Pancreatology;25773577, 20965664;0.602;Q3;12
Korean Journal of Family Medicine;20926715, 20056443;0.602;Q2;29
Laboratory Animals;00236772, 17581117;0.602;Q1;77
Materials Letters;18734979, 0167577X;0.602;Q2;172
Oral Radiology;16139674, 09116028;0.602;Q2;23
Patient Safety in Surgery;17549493;0.602;Q2;33
Pedobiologia;00314056, 18731511;0.602;Q2;80
Teaching Education;14701286, 10476210;0.602;Q2;41
Vision Research;18785646, 00426989;0.602;Q2;184
Bulletin of the Peabody Museum of Natural History;21624135, 0079032X;0.601;Q1;23
Cambridge Review of International Affairs;09557571, 1474449X;0.601;Q1;51
Canadian Journal of Surgery;0008428X, 14882310;0.601;Q2;76
Chiropractic and Manual Therapies;2045709X;0.601;Q1;39
Contemporary Economic Policy;14657287, 10743529;0.601;Q2;59
Current Opinion in Otolaryngology and Head and Neck Surgery;15316998, 10689508;0.601;Q2;76
Current Pediatric Reviews;15733963, 18756336;0.601;Q2;33
European Journal of Microbiology and Immunology;20628633;0.601;Q2;15
European Political Science;16820983, 16804333;0.601;Q1;31
Foresight;14659832, 14636689;0.601;Q1;40
Glycoconjugate Journal;02820080, 15734986;0.601;Q3;96
Hematology/ Oncology and Stem Cell Therapy;25890646, 16583876;0.601;Q2;30
IEEE International Test Conference (TC);10893539;0.601;-;83
Journal of Hospitality and Tourism Education;23256540, 10963758;0.601;Q2;32
Journal of King Saud University - Science;10183647;0.601;Q1;63
Journal of Social Work;14680173;0.601;Q1;42
Lingua;00243841;0.601;Q1;73
Primary Care - Clinics in Office Practice;1558299X, 00954543;0.601;Q2;59
SAGE Open Nursing;23779608;0.601;Q2;17
Contemporary Social Science;2158205X, 21582041;0.6;Q1;31
Domestic Animal Endocrinology;18790054, 07397240;0.6;Q1;82
European Journal of Dentistry;13057464, 13057456;0.6;Q2;48
Journal of Arid Land;16746767, 21947783;0.6;Q2;42
Journal of Biomolecular Structure and Dynamics;07391102, 15380254;0.6;Q2;87
Journal of Engineering, Design and Technology;17260531;0.6;Q2;34
Journal of Gastrointestinal Oncology;20786891, 2219679X;0.6;Q3;55
Journal of Interferon and Cytokine Research;15577465, 10799907;0.6;Q2;105
Journal of Petroleum Exploration and Production Technology;21900558, 21900566;0.6;Q2;46
Journal of Solid State Chemistry;1095726X, 00224596;0.6;Q2;160
Latin American Antiquity;10456635, 23255080;0.6;Q1;46
NeuroImmunoModulation;14230216, 10217401;0.6;Q3;74
Open Access Journal of Sports Medicine;11791543;0.6;Q1;10
Physiological and Biochemical Zoology;15222152, 15375293;0.6;Q1;96
Positivity;13851292, 15729281;0.6;Q2;35
Urban Planning;21837635;0.6;Q1;28
Visual Computing for Industry, Biomedicine, and Art;25244442, 2096496X;0.6;Q1;19
Anuario de Psicologia Juridica;11330740, 21740542;0.599;Q1;14
BJPsych International;20564740, 20586264;0.599;Q3;21
Children and Society;09510605, 10990860;0.599;Q2;68
Computability;22113576, 22113568;0.599;Q2;12
Frontiers in Sustainable Cities;26249634;0.599;Q1;20
Geology in China;10003657;0.599;Q2;53
IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India);02564602, 09745971;0.599;Q2;45
International Journal of Network Management;10557148, 10991190;0.599;Q2;33
Journal of Diabetes and Metabolic Disorders;22516581;0.599;Q2;46
Journal of Ethnicity in Criminal Justice;15377938;0.599;Q1;23
Journal of Ocular Pharmacology and Therapeutics;15577732, 10807683;0.599;Q2;72
Justice Evaluation Journal;24751979, 24751987;0.599;Q1;10
Service Science;21643970, 21643962;0.599;Q2;24
Stochastic Analysis and Applications;15329356, 07362994;0.599;Q2;41
ACM Transactions on Accessible Computing;19367228;0.598;Q2;37
Advances in Medical Sciences;18961126, 18984002;0.598;Q2;49
Advances in Sample Preparation;27725820;0.598;Q2;7
Annals of Clinical Biochemistry;17581001, 00045632;0.598;Q2;90
Applied Artificial Intelligence;10876545, 08839514;0.598;Q3;63
Applied Spatial Analysis and Policy;18744621, 1874463X;0.598;Q2;31
Australian Journal of Grape and Wine Research;13227130, 17550238;0.598;Q1;92
Cardiology in Review;10615377, 15384683;0.598;Q2;65
Current Hypertension Reviews;18756506, 15734021;0.598;Q2;27
Ecological Psychology;15326969, 10407413;0.598;Q2;53
International Journal of Environmental Science and Technology;17351472, 17352630;0.598;Q1;101
Journal of Intelligent Material Systems and Structures;15308138, 1045389X;0.598;Q2;128
Journal of the International Phonetic Association;00251003;0.598;Q1;42
Journal of Vertebrate Paleontology;19372809, 02724634;0.598;Q2;91
Particle and Particle Systems Characterization;15214117, 09340866;0.598;Q2;68
Povolzhskaya Arkheologiya;25002856, 23064099;0.598;Q1;7
Saudi Pharmaceutical Journal;13190164;0.598;Q2;76
Australian Dental Journal;18347819, 00450421;0.597;Q2;86
Canadian Geographer / Geographie Canadien;15410064, 00083658;0.597;Q2;54
Classroom Discourse;19463014, 19463022;0.597;Q1;22
Epigenetics Insights;25168657;0.597;Q3;12
Exceptionality;09362835, 15327035;0.597;Q2;27
Food Science and Biotechnology;20926456, 12267708;0.597;Q2;60
Integral Transforms and Special Functions;14768291, 10652469;0.597;Q2;48
Journal of Applied Geophysics;09269851;0.597;Q2;100
Journal of Biological Dynamics;17513766, 17513758;0.597;Q2;43
Journal of International Accounting, Auditing and Taxation;10619518;0.597;Q2;50
Memorias do Instituto Oswaldo Cruz;16788060, 00740276;0.597;Q2;104
Mini-Reviews in Medicinal Chemistry;18755607, 13895575;0.597;Q2;107
Multidisciplinary Journal of Educational Research;20142862;0.597;Q1;9
Plant Ecology;13850237, 15735052;0.597;Q2;118
Polymer Journal;00323896, 13490540;0.597;Q2;82
Translational Medicine of Aging;24685011;0.597;Q3;13
Anthropocene Coasts;25614150;0.596;Q2;12
Bone Reports;23521872;0.596;Q2;32
Cell Biochemistry and Biophysics;15590283, 10859195;0.596;Q2;91
Dental and Medical Problems;1644387X;0.596;Q2;18
International Journal of Sports Marketing and Sponsorship;14646668;0.596;Q2;33
Journal of English Linguistics;00754242, 15525457;0.596;Q1;36
Journal of nursing research : JNR, The;16823141;0.596;Q2;44
Leisure Sciences;15210588, 01490400;0.596;Q1;81
Microbial Drug Resistance;10766294, 19318448;0.596;Q2;78
Particles;2571712X;0.596;Q2;13
Turkish Studies;14683849;0.596;Q1;31
Advances in Cement Research;09517197, 17517605;0.595;Q2;53
Annals of Public and Cooperative Economics;13704788, 14678292;0.595;Q1;46
Archives of Animal Nutrition;14772817, 1745039X;0.595;Q1;57
Asia Pacific Journal of Public Administration;23276665, 23276673;0.595;Q2;20
Biomass Conversion and Biorefinery;21906815, 21906823;0.595;Q2;45
Botanikai Kozlemenyek;00068144, 24159662;0.595;Q2;6
Canadian Journal of Infectious Diseases and Medical Microbiology;17129532, 19181493;0.595;Q2;48
China Economic Quarterly International;26669331;0.595;Q1;7
Digital Threats: Research and Practice;25765337;0.595;Q1;10
Electronic Communications in Probability;1083589X;0.595;Q2;38
Healthcare Analytics;27724425;0.595;Q2;15
IEEE Power Electronics Magazine;23299215, 23299207;0.595;Q2;32
Journal of AAPOS;15283933, 10918531;0.595;Q2;78
Journal of Biomaterials Science, Polymer Edition;15685624, 09205063;0.595;Q2;107
Journal of Computer Science and Technology;18604749, 10009000;0.595;Q2;59
Networks and Spatial Economics;1566113X;0.595;Q2;59
Palaeoworld;1871174X;0.595;Q2;37
Research in Number Theory;23639555;0.595;Q2;10
Russian Journal of Linguistics;26868024, 26870088;0.595;Q1;14
Advances in Data Analysis and Classification;18625347, 18625355;0.594;Q2;39
AlterNative;11741740, 11771801;0.594;Q1;24
Brazilian Journal of Infectious Diseases;14138670, 16784391;0.594;Q2;57
International Journal of Hematology;09255710;0.594;Q2;86
International Journal of Numerical Analysis and Modeling;17055105;0.594;Q2;33
IT Professional;15209202;0.594;Q2;62
Japan Journal of Nursing Science;17427924, 17427932;0.594;Q2;28
Journal of Clinical Monitoring and Computing;15732614, 13871307;0.594;Q2;61
Journal of Pediatric Health Care;08915245, 1532656X;0.594;Q2;57
Review of Black Political Economy;00346446, 19364814;0.594;Q1;23
Zeitschrift fur Psychologie / Journal of Psychology;21512604, 21908370;0.594;Q1;49
Animal Reproduction Science;03784320, 18732232;0.593;Q1;121
Brachytherapy;18731449, 15384721;0.593;Q2;57
Canadian Journal of Forest Research;00455067, 12086037;0.593;Q1;135
Canadian Journal of Nursing Research;08445621, 17057051;0.593;Q2;47
Digital Applications in Archaeology and Cultural Heritage;22120548;0.593;Q1;25
Environmental Chemistry;14482517, 14498979;0.593;Q2;76
Fisheries;03632415, 15488446;0.593;Q2;90
Genes and Environment;18807046, 18807062;0.593;Q2;22
Internet Histories;24701483, 24701475;0.593;Q1;12
Journal of Magnetic Resonance;10960856, 10907807;0.593;Q2;143
Journal of Reproduction and Development;09168818, 13484400;0.593;Q1;61
Journal of the American Pharmacists Association : JAPhA;15443191, 15443450;0.593;Q1;73
Medicina (Lithuania);1010660X, 16489144;0.593;Q2;61
Public Relations Inquiry;20461488, 2046147X;0.593;Q1;20
Random Matrices: Theory and Application;20103263, 20103271;0.593;Q2;20
Review of International Economics;09657576, 14679396;0.593;Q2;68
Revista Espanola de Cardiologia;15792242, 03008932;0.593;Q2;76
Seminars in Oncology Nursing;18783449, 07492081;0.593;Q2;58
Acta Protozoologica;16890027, 00651583;0.592;Q1;41
Biomolecular Concepts;1868503X, 18685021;0.592;Q2;44
BMC Genomic Data;27306844;0.592;Q3;91
Comptes Rendus - Geoscience;16310713, 17787025;0.592;Q2;92
Environmental Economics and Policy Studies;1867383X, 1432847X;0.592;Q2;33
International Journal of Biomathematics;17935245, 17937159;0.592;Q2;35
International Journal of Intelligent Robotics and Applications;23665971, 2366598X;0.592;Q2;21
Journal of Advanced Research in Numerical Heat Transfer;27350142;0.592;Q1;11
Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME;00220434;0.592;Q2;99
Manuscripta Mathematica;14321785, 00252611;0.592;Q2;47
Stroke Research and Treatment;20908105, 20420056;0.592;Q3;43
Systematic and Applied Acarology;13621971;0.592;Q1;27
Brain Multiphysics;26665220;0.591;Q2;8
Canadian Journal of Mathematics;0008414X, 14964279;0.591;Q2;45
Canadian Journal of Pain;24740527;0.591;Q2;18
Current Gerontology and Geriatrics Research;16877063, 16877071;0.591;Q3;38
Current Treatment Options in Neurology;10928480, 15343138;0.591;Q3;56
Genome;14803321, 08312796;0.591;Q2;108
International Journal of Architectural Research: Archnet-IJAR;19387806;0.591;Q1;25
KONA Powder and Particle Journal;02884534, 21875537;0.591;Q2;45
Proceedings of the Institution of Civil Engineers: Geotechnical Engineering;13532618, 17518563;0.591;Q2;49
Professional Geographer;14679272, 00330124;0.591;Q2;90
Social Currents;23294973, 23294965;0.591;Q1;27
Social Enterprise Journal;17508533, 17508614;0.591;Q1;17
Therapeutic Drug Monitoring;15363694, 01634356;0.591;Q2;102
Transport in Porous Media;15731634, 01693913;0.591;Q2;107
Zeitschrift für Analysis und ihre Anwendungen;02322064;0.591;Q2;38
Applied Economics;00036846, 14664283;0.59;Q2;113
Archives of Virology;03048608, 14328798;0.59;Q2;130
Communication and Society;23867876, 02140039;0.59;Q1;25
Concurrent Engineering Research and Applications;15312003, 1063293X;0.59;Q2;45
Forces in Mechanics;26663597;0.59;Q2;13
Gynecological Endocrinology;09513590, 14730766;0.59;Q2;74
International Journal of Advanced Robotic Systems;17298806;0.59;Q2;62
International Journal of Information Systems and Project Management;21827788, 21827796;0.59;Q2;23
